State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Christians,Others_Religions,Households_with_Computer,Housholds_with_Electric_Lighting,Urban_Households,Rural_Households,Higher_Education,Graduate_Education,Illiterate_Education,Literate_Education,SC,ST,sex ratio,literacy_rate,Illiterate_rate
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,1809936,409251,3758,42,25078,51028,27815,572287,69665,45726,1220268,1116063,354249,10168,93.0,46.0,55.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,3152346,333980,2203,71,39564,70001,51494,699317,178320,124448,1479152,2271286,738031,2274,89.0,55.0,42.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,852574,51447,8720,246,78113,231204,289456,8911,98786,174528,184265,731491,199086,0,82.0,76.0,17.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,1277975,12413,27951,86925,9042,157646,54894,316425,57413,32895,729550,656234,37963,931780,102.0,46.0,52.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,371973,6984,236,7,6281,79146,11987,152458,45695,25474,65864,287961,98989,10693,98.0,75.0,17.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,2540763,57973,20745,29122,30892,519704,188174,549632,152838,134637,943112,1624001,552992,498469,97.0,60.0,35.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,777188,10425,2644,3685,4804,148926,41792,168689,58875,31319,214637,572304,58581,207633,101.0,68.0,27.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,3129745,83499,24304,42569,51289,614109,349741,533448,286244,202424,823501,2363288,458040,397416,99.0,69.0,25.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,629509,15336,189588,14835,5755,76783,20722,205670,50562,26161,328438,529825,48844,530378,101.0,58.0,39.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,1133176,30195,21059,15649,18004,202380,126055,206598,83166,61215,410186,780221,124679,493559,97.0,62.0,34.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,604259,25878,9398,15474,7609,80023,59763,121852,38677,26802,179639,457761,54776,304280,97.0,60.0,27.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,1008061,12570,5284,1417,5614,212487,35774,274793,57949,33357,384764,702532,139581,279896,102.0,62.0,37.0
